geo,Sector_name,OBS_VALUE,TIME_PERIOD
BE,4.C.1 - Grassland remaining grassland,-124.76848,1993.0
BE,4.C.1 - Grassland remaining grassland,-122.1484,1995.0
BE,4.C.1 - Grassland remaining grassland,-117.31488,1997.0
BE,4.C.1 - Grassland remaining grassland,-115.14725,1998.0
BE,4.C.1 - Grassland remaining grassland,-106.27742,2002.0
BE,4.C.2 - Land converted to grassland,-83.00968,2001.0
BE,4.C.2 - Land converted to grassland,-107.70598,2003.0
BE,4.C.2 - Land converted to grassland,-132.35945,2005.0
BE,4.C.2 - Land converted to grassland,-150.29962,2013.0
BE,4.C.2 - Land converted to grassland,-8.86306,2018.0
BE,4.C.2 - Land converted to grassland,-62.5772,2021.0
BE,4.D - Wetlands,-6.00069,2012.0
BE,4.G - Harvested Wood Products,-899.93214,1992.0
BE,4.G - Harvested Wood Products,-691.88487,1994.0
BE,4.G - Harvested Wood Products,-988.26416,2002.0
BE,4.G - Harvested Wood Products,-770.81982,2004.0
BE,4.G - Harvested Wood Products,-195.44188,2014.0
BE,4.A - Forest Land,-2047.62076,2004.0
BE,4.A - Forest Land,-2083.15736,2006.0
BE,4.A.1 - Forest Land remaining forest land,-1904.01556,1991.0
BE,4.A.1 - Forest Land remaining forest land,-1882.02632,2000.0
BE,4.A.1 - Forest Land remaining forest land,-1757.15842,2002.0
BE,4.A.1 - Forest Land remaining forest land,-1508.11099,2017.0
BE,4.A.1 - Forest Land remaining forest land,-1311.84043,2019.0
BE,4.A.1 - Forest Land remaining forest land,-1324.90114,2020.0
BE,4.A.1 - Forest Land remaining forest land,-1301.95936,2023.0
BE,4.G - Harvested Wood Products,-928.92596,1993.0
BE,4.G - Harvested Wood Products,-821.50427,1999.0
BE,4.G - Harvested Wood Products,-550.713,2007.0
BE,4.G - Harvested Wood Products,-96.5005,2017.0
BE,4.A.2 - Land converted to forest land,-3.67334,1991.0
BE,4.A.2 - Land converted to forest land,-16.75897,1994.0
BE,4.A.2 - Land converted to forest land,-21.07388,1995.0
BE,4.A.2 - Land converted to forest land,-33.86613,1998.0
BE,4.A.2 - Land converted to forest land,-192.91017,1999.0
BE,4.A.2 - Land converted to forest land,-212.58755,2000.0
BE,4.A.2 - Land converted to forest land,-234.97782,2001.0
BE,4.A.2 - Land converted to forest land,-517.07328,2016.0
BE,4.C - Grassland,-93.67085,1990.0
BE,4.C - Grassland,-116.3292,1993.0
BE,4.C - Grassland,-126.18565,1994.0
BE,4.C - Grassland,-31.54937,2007.0
BE,4.C - Grassland,-42.38702,2008.0
BE,4.C - Grassland,-27.50394,2013.0
BE,4.C.1 - Grassland remaining grassland,-108.5447,2001.0
BE,4.C.2 - Land converted to grassland,-47.4419,1998.0
BE,4.C.2 - Land converted to grassland,-95.26568,2002.0
BE,4.C.2 - Land converted to grassland,-81.38569,2022.0
BE,4.C.2 - Land converted to grassland,-100.36431,2023.0
BE,4.G - Harvested Wood Products,-856.61366,2005.0
BE,4.G - Harvested Wood Products,-16.66637,2011.0
BE,4.G - Harvested Wood Products,-151.60578,2013.0
BE,4.A - Forest Land,-1909.58833,1992.0
BE,4.A - Forest Land,-1915.21622,1995.0
BE,4.A - Forest Land,-1877.91619,2015.0
BE,4.A.1 - Forest Land remaining forest land,-1729.16635,2012.0
BE,4.A.1 - Forest Land remaining forest land,-1549.61825,2013.0
BE,4.A.2 - Land converted to forest land,-25.36428,1996.0
BE,4.A.2 - Land converted to forest land,-314.38191,2005.0
BE,4.A.2 - Land converted to forest land,-373.98057,2008.0
BE,4.C - Grassland,-162.58914,1998.0
BE,4.C - Grassland,-191.55438,2001.0
BE,4.C - Grassland,-211.65613,2003.0
BE,4.C - Grassland,-44.28118,2015.0
BE,4.C.1 - Grassland remaining grassland,-103.95014,2003.0
BE,4.C.2 - Land converted to grassland,-144.47536,2006.0
BE,4.D - Wetlands,-5.27643,2011.0
BE,4.D.2 - Land converted to wetlands,-4.55677,2010.0
BE,4.D.2 - Land converted to wetlands,-6.00069,2012.0
BE,4.G - Harvested Wood Products,-898.90071,2003.0
BE,4.G - Harvested Wood Products,-844.25888,2006.0
BE,4.G - Harvested Wood Products,-492.55308,2008.0
BE,4.G - Harvested Wood Products,-89.636,2018.0
BG,4.A - Forest Land,-10440.8169,2007.0
BG,4.A.1 - Forest Land remaining forest land,-12227.66406,2005.0
BG,4.A.1 - Forest Land remaining forest land,-8237.10655,2018.0
BG,4.A.2 - Land converted to forest land,-2747.53195,1990.0
BG,4.A.2 - Land converted to forest land,-2009.96704,1994.0
BG,4.A.2 - Land converted to forest land,-1618.73081,1996.0
BG,4.A.2 - Land converted to forest land,-373.66358,2009.0
BG,4.A.2 - Land converted to forest land,-291.74392,2017.0
BG,4.C - Grassland,-1312.32359,1994.0
BG,4.C - Grassland,-2506.53213,2005.0
BG,4.C - Grassland,-1029.80984,2014.0
BG,4.C - Grassland,-892.60965,2019.0
BG,4.C - Grassland,-789.11586,2020.0
BG,4.C.2 - Land converted to grassland,-1009.38917,1991.0
BG,4.C.2 - Land converted to grassland,-1433.87494,2010.0
BG,4.C.2 - Land converted to grassland,-1155.94504,2013.0
BG,4.G - Harvested Wood Products,-334.34822,2001.0
BG,4.G - Harvested Wood Products,-427.35791,2003.0
BG,4.G - Harvested Wood Products,-847.07869,2009.0
BG,4.G - Harvested Wood Products,-957.07064,2010.0
BG,4.G - Harvested Wood Products,-1194.98507,2020.0
BE,4.A - Forest Land,-1905.79751,1990.0
BE,4.A - Forest Land,-1911.48448,1993.0
BE,4.A - Forest Land,-1907.20938,1996.0
BE,4.A - Forest Land,-2077.03366,1999.0
BE,4.A - Forest Land,-2041.33744,2014.0
BE,4.A - Forest Land,-2100.92103,2007.0
BE,4.A - Forest Land,-2217.95999,2012.0
BE,4.A - Forest Land,-1960.17694,2022.0
BE,4.A.1 - Forest Land remaining forest land,-1896.52575,1994.0
BE,4.A.1 - Forest Land remaining forest land,-1738.08596,2010.0
BE,4.A.1 - Forest Land remaining forest land,-1380.826,2015.0
BE,4.A.2 - Land converted to forest land,-393.82316,2009.0
BE,4.A.2 - Land converted to forest land,-596.99003,2020.0
BE,4.A.2 - Land converted to forest land,-657.10008,2023.0
BE,4.A - Forest Land,-2042.06178,2016.0
BE,4.A - Forest Land,-1888.84216,2019.0
BE,4.A - Forest Land,-1921.89117,2020.0
BE,4.A - Forest Land,-1953.80256,2021.0
BE,4.A.1 - Forest Land remaining forest land,-1753.13162,2004.0
BE,4.A.2 - Land converted to forest land,-8.05792,1992.0
BE,4.A.2 - Land converted to forest land,-497.09019,2015.0
BE,4.C - Grassland,-181.77331,2000.0
BE,4.C - Grassland,-20.68728,2006.0
BE,4.C.1 - Grassland remaining grassland,-128.95024,1992.0
BE,4.C.1 - Grassland remaining grassland,-123.79785,1994.0
BE,4.C.2 - Land converted to grassland,-24.59525,1996.0
BE,4.C.2 - Land converted to grassland,-70.9695,2000.0
BE,4.C.2 - Land converted to grassland,-168.96824,2008.0
BE,4.C.2 - Land converted to grassland,-181.34522,2009.0
BE,4.C.2 - Land converted to grassland,-156.32694,2014.0
BE,4.G - Harvested Wood Products,-1516.10488,1990.0
BE,4.G - Harvested Wood Products,-1.31023,2012.0
BE,4.C - Grassland,-101.67736,1991.0
BE,4.C - Grassland,-9.91221,2005.0
BE,4.C - Grassland,-53.42316,2009.0
BE,4.C.1 - Grassland remaining grassland,-133.48481,1990.0
BE,4.C.1 - Grassland remaining grassland,-131.21753,1991.0
BE,4.C.2 - Land converted to grassland,-59.11357,1999.0
BE,4.C.2 - Land converted to grassland,-162.83017,2015.0
BE,4.A - Forest Land,-1907.6889,1991.0
BE,4.A - Forest Land,-1918.67528,1997.0
BE,4.A - Forest Land,-2094.61387,2000.0
BE,4.A - Forest Land,-2029.8038,2003.0
BE,4.A - Forest Land,-2118.71377,2008.0
BE,4.A - Forest Land,-2045.2089,2017.0
BE,4.A - Forest Land,-1959.05944,2023.0
BE,4.A.1 - Forest Land remaining forest land,-1901.53041,1992.0
BE,4.A.1 - Forest Land remaining forest land,-1889.04657,1997.0
BE,4.A.1 - Forest Land remaining forest land,-1884.12348,1999.0
BE,4.A.1 - Forest Land remaining forest land,-1751.00484,2005.0
BE,4.A.1 - Forest Land remaining forest land,-1744.7332,2008.0
BE,4.A.2 - Land converted to forest land,-29.62872,1997.0
BE,4.A.2 - Land converted to forest land,-294.48914,2004.0
BE,4.A.2 - Land converted to forest land,-354.1281,2007.0
BE,4.A.2 - Land converted to forest land,-451.84446,2011.0
BE,4.A.2 - Land converted to forest land,-494.26802,2014.0
BE,4.A.2 - Land converted to forest land,-537.09791,2017.0
BE,4.G - Harvested Wood Products,-1281.73409,1998.0
BE,4.G - Harvested Wood Products,-419.30642,2000.0
BE,4.G - Harvested Wood Products,-328.96308,2009.0
BE,4.G - Harvested Wood Products,-246.95695,2015.0
BE,4.C.1 - Grassland remaining grassland,-118.56573,1996.0
BE,4.C.1 - Grassland remaining grassland,-113.07907,1999.0
BE,4.C.2 - Land converted to grassland,-2.3878,1994.0
BE,4.C.2 - Land converted to grassland,-13.39931,1995.0
BE,4.C.2 - Land converted to grassland,-27.08292,2019.0
BE,4.C.2 - Land converted to grassland,-44.74611,2020.0
BE,4.G - Harvested Wood Products,-1065.4257,1991.0
BE,4.G - Harvested Wood Products,-935.07057,1995.0
BE,4.G - Harvested Wood Products,-1157.13903,1996.0
BE,4.A - Forest Land,-1913.28472,1994.0
BE,4.A - Forest Land,-1920.35904,1998.0
BE,4.A - Forest Land,-2011.99632,2002.0
BE,4.A - Forest Land,-2136.59635,2009.0
BE,4.A - Forest Land,-2041.12162,2013.0
BE,4.A.1 - Forest Land remaining forest land,-1899.0642,1993.0
BE,4.A.1 - Forest Land remaining forest land,-1881.84509,1996.0
BE,4.A.1 - Forest Land remaining forest land,-1742.77319,2009.0
BE,4.A.1 - Forest Land remaining forest land,-1732.06846,2011.0
BE,4.A.1 - Forest Land remaining forest land,-1524.9885,2016.0
BE,4.A.1 - Forest Land remaining forest land,-1450.13665,2018.0
BE,4.A.1 - Forest Land remaining forest land,-1323.13771,2022.0
BE,4.A.2 - Land converted to forest land,-274.67505,2003.0
BE,4.A.2 - Land converted to forest land,-491.50337,2013.0
BE,4.C - Grassland,-135.54771,1995.0
BE,4.C - Grassland,-201.5431,2002.0
BE,4.C - Grassland,-35.65461,2014.0
BE,4.C.1 - Grassland remaining grassland,-110.80381,2000.0
BE,4.C.2 - Land converted to grassland,-156.67829,2007.0
BE,4.D.2 - Land converted to wetlands,-5.27643,2011.0
BE,4.G - Harvested Wood Products,-711.82228,1997.0
BE,4.G - Harvested Wood Products,-258.04394,2001.0
BE,4.G - Harvested Wood Products,-62.59947,2010.0
BE,4.G - Harvested Wood Products,-225.27567,2016.0
BG,4.A - Forest Land,-16361.05382,1994.0
BG,4.A - Forest Land,-6668.0633,2015.0
BG,4.A - Forest Land,-8542.06201,2017.0
BG,4.A.1 - Forest Land remaining forest land,-12093.49971,2003.0
BG,4.A.2 - Land converted to forest land,-1419.74593,1997.0
BG,4.A.2 - Land converted to forest land,-791.58049,2001.0
BG,4.A.2 - Land converted to forest land,-361.59874,2007.0
BG,4.A.2 - Land converted to forest land,-290.59431,2018.0
BG,4.A.2 - Land converted to forest land,-268.05239,2020.0
BG,4.C - Grassland,-876.63703,1991.0
BG,4.C - Grassland,-1053.26642,1998.0
BG,4.C - Grassland,-1157.91196,2012.0
BG,4.C - Grassland,-1041.55854,2013.0
BG,4.C - Grassland,-868.69042,2016.0
BG,4.C - Grassland,-827.47156,2018.0
BG,4.C.2 - Land converted to grassland,-1449.26174,1994.0
BG,4.C.2 - Land converted to grassland,-1190.81272,1998.0
BG,4.C.2 - Land converted to grassland,-1720.72966,2004.0
BG,4.C.2 - Land converted to grassland,-2637.89521,2005.0
BG,4.C.2 - Land converted to grassland,-2028.57051,2007.0
BG,4.C.2 - Land converted to grassland,-1141.48494,2014.0
BG,4.C.2 - Land converted to grassland,-844.13515,2017.0
BG,4.C.2 - Land converted to grassland,-990.81656,2019.0
BG,4.G - Harvested Wood Products,-1702.0747,2007.0
BG,4.A - Forest Land,-16352.55473,1992.0
BG,4.A - Forest Land,-15615.45215,1997.0
BG,4.A - Forest Land,-12699.30465,2002.0
BG,4.A - Forest Land,-12672.35092,2005.0
BG,4.A - Forest Land,-6848.9416,2012.0
BG,4.A - Forest Land,-8438.27808,2020.0
BG,4.A.1 - Forest Land remaining forest land,-13761.20046,1991.0
BG,4.A.1 - Forest Land remaining forest land,-14640.7278,1995.0
BG,4.A.1 - Forest Land remaining forest land,-14636.38085,1999.0
BG,4.A.1 - Forest Land remaining forest land,-12162.4145,2004.0
BG,4.A.1 - Forest Land remaining forest land,-8154.65244,2022.0
BG,4.A.2 - Land converted to forest land,-1818.75214,1995.0
BG,4.A.2 - Land converted to forest land,-685.03207,2002.0
BG,4.A.2 - Land converted to forest land,-76.48783,2023.0
BG,4.C - Grassland,-1327.75988,1997.0
BG,4.C - Grassland,-1310.43068,2010.0
BG,4.C.2 - Land converted to grassland,-1462.10815,1996.0
BG,4.C.2 - Land converted to grassland,-1804.61688,2006.0
BG,4.C.2 - Land converted to grassland,-928.13936,2018.0
BG,4.C.2 - Land converted to grassland,-586.36233,2023.0
BG,4.G - Harvested Wood Products,-461.24882,2002.0
BG,4.G - Harvested Wood Products,-892.32496,2008.0
BG,4.G - Harvested Wood Products,-1529.83769,2015.0
BG,4.G - Harvested Wood Products,-1355.4425,2017.0
BG,4.G - Harvested Wood Products,-1232.68522,2018.0
CH,4.A - Forest Land,-3594.56898,1994.0
CH,4.A - Forest Land,-6944.7495,1996.0
CH,4.A - Forest Land,-2865.60223,2003.0
CH,4.A - Forest Land,-3500.82536,2005.0
CH,4.A.1 - Forest Land remaining forest land,-4042.27253,1995.0
CH,4.A.1 - Forest Land remaining forest land,-1897.15678,1999.0
CH,4.A.1 - Forest Land remaining forest land,-1045.01818,2001.0
CH,4.A.1 - Forest Land remaining forest land,-1114.64011,2022.0
CH,4.A.2 - Land converted to forest land,-788.97327,2020.0
CH,4.B.2 - Land converted to cropland,-33.08401,2022.0
CH,4.C - Grassland,-974.57084,1991.0
CH,4.C - Grassland,-403.64552,2014.0
CH,4.C.1 - Grassland remaining grassland,-830.90529,1996.0
CH,4.C.1 - Grassland remaining grassland,-368.7431,1999.0
CH,4.C.1 - Grassland remaining grassland,-126.60029,2002.0
CH,4.C.1 - Grassland remaining grassland,-39.63235,2005.0
CH,4.E.1 - Settlements remaining settlements,-15.05778,1995.0
CH,4.E.1 - Settlements remaining settlements,-16.10666,2017.0
CH,4.E.1 - Settlements remaining settlements,-49.43378,2023.0
CH,4.G - Harvested Wood Products,-506.27911,2004.0
CH,4.G - Harvested Wood Products,-18.32442,2017.0
BG,4.A - Forest Land,-16459.47994,1995.0
BG,4.A - Forest Land,-12671.85112,2004.0
BG,4.A - Forest Land,-10606.10733,2009.0
BG,4.A - Forest Land,-8467.55028,2021.0
BG,4.A - Forest Land,-8220.83432,2023.0
BG,4.A.1 - Forest Land remaining forest land,-13580.41028,1990.0
BG,4.A.1 - Forest Land remaining forest land,-13945.6479,1992.0
BG,4.A.1 - Forest Land remaining forest land,-13936.23185,1996.0
BG,4.A.1 - Forest Land remaining forest land,-6554.94749,2011.0
BG,4.A.1 - Forest Land remaining forest land,-6490.59222,2014.0
BG,4.A.1 - Forest Land remaining forest land,-8170.22569,2020.0
BG,4.A.1 - Forest Land remaining forest land,-8174.04018,2021.0
BG,4.A.2 - Land converted to forest land,-2209.0312,1993.0
BG,4.A.2 - Land converted to forest land,-903.44486,2000.0
BG,4.A.2 - Land converted to forest land,-328.61842,2014.0
BG,4.A.2 - Land converted to forest land,-301.49212,2016.0
BG,4.A.2 - Land converted to forest land,-267.3236,2019.0
BG,4.A.2 - Land converted to forest land,-293.5101,2021.0
BG,4.C - Grassland,-1291.02837,1993.0
BG,4.C - Grassland,-1323.61629,1996.0
BG,4.C - Grassland,-1011.4017,1999.0
BG,4.C - Grassland,-1645.47371,2002.0
BG,4.C - Grassland,-1673.63844,2006.0
BG,4.C.2 - Land converted to grassland,-1274.57789,2012.0
BG,4.G - Harvested Wood Products,-268.48801,2000.0
BG,4.G - Harvested Wood Products,-853.94251,2004.0
BG,4.G - Harvested Wood Products,-961.05784,2005.0
BG,4.G - Harvested Wood Products,-1294.83839,2011.0
BG,4.G - Harvested Wood Products,-972.30858,2022.0
BG,4.A - Forest Land,-16348.97636,1991.0
BG,4.A - Forest Land,-15554.96267,1996.0
BG,4.A - Forest Land,-15644.38631,1998.0
BG,4.A - Forest Land,-15682.50177,1999.0
BG,4.A - Forest Land,-15500.78923,2000.0
BG,4.A - Forest Land,-12679.53496,2001.0
BG,4.A - Forest Land,-10576.5366,2008.0
BG,4.A - Forest Land,-10538.71943,2010.0
BG,4.A - Forest Land,-8527.70086,2018.0
BG,4.A.1 - Forest Land remaining forest land,-12014.27258,2002.0
BG,4.A.1 - Forest Land remaining forest land,-10207.05503,2006.0
BG,4.A.1 - Forest Land remaining forest land,-10079.21815,2007.0
BG,4.A.1 - Forest Land remaining forest land,-10222.37978,2008.0
BG,4.A.1 - Forest Land remaining forest land,-10232.44376,2009.0
BG,4.A.1 - Forest Land remaining forest land,-10170.13053,2010.0
BG,4.A.1 - Forest Land remaining forest land,-6510.66076,2013.0
BG,4.A.1 - Forest Land remaining forest land,-8269.81466,2016.0
